Statistics,United States,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Puerto Rico,,TOTAL (All Selected States),
SE:T17. Households by Household Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households:,"116,926,305",,"1,848,325",,"250,969",,"2,412,212",,"1,138,025",,"12,717,801",,"2,024,468",,"1,352,583",,"344,022",,"273,390",,"7,300,494",,"3,574,362",,"450,572",,"589,320",,"4,786,388",,"2,501,937",,"1,236,409",,"1,113,472",,"1,708,499",,"1,727,919",,"553,284",,"2,166,389",,"2,549,721",,"3,841,148",,"2,124,745",,"1,096,593",,"2,364,688",,"409,394",,"736,613",,"1,016,709",,"520,251",,"3,189,486",,"763,603",,"7,262,279",,"3,775,581",,"299,638",,"4,585,084",,"1,455,321",,"1,533,430",,"4,958,859",,"410,602",,"1,815,094",,"330,858",,"2,504,556",,"9,149,196",,"906,292",,"257,167",,"3,062,783",,"2,668,912",,"740,890",,"2,299,107",,"226,865",,"1,244,202",,"118,170,507",
Family Households:,"77,260,546",66.10%,"1,238,967",67.00%,"167,562",66.80%,"1,581,380",65.60%,"759,924",66.80%,"8,732,734",68.70%,"1,300,972",64.30%,"895,639",66.20%,"230,307",67.00%,"118,737",43.40%,"4,699,888",64.40%,"2,423,535",67.80%,"313,612",69.60%,"406,168",68.90%,"3,124,683",65.30%,"1,655,043",66.20%,"797,481",64.50%,"729,468",65.50%,"1,136,718",66.50%,"1,128,232",65.30%,"347,579",62.80%,"1,450,292",67.00%,"1,620,917",63.60%,"2,497,834",65.00%,"1,376,549",64.80%,"749,121",68.30%,"1,530,006",64.70%,"255,470",62.40%,"476,627",64.70%,"651,954",64.10%,"347,378",66.80%,"2,211,531",69.30%,"495,031",64.80%,"4,625,960",63.70%,"2,497,993",66.20%,"181,864",60.70%,"2,937,598",64.10%,"966,009",66.40%,"971,791",63.40%,"3,202,874",64.60%,"257,540",62.70%,"1,212,645",66.80%,"212,994",64.40%,"1,665,445",66.50%,"6,364,104",69.60%,"680,007",75.00%,"159,457",62.00%,"2,054,416",67.10%,"1,722,188",64.50%,"479,803",64.80%,"1,469,290",63.90%,"147,229",64.90%,"879,818",70.70%,"78,140,364",66.10%
Married-Couple Family,"56,478,631",48.30%,"880,942",47.70%,"124,649",49.70%,"1,142,828",47.40%,"558,920",49.10%,"6,245,351",49.10%,"1,003,324",49.60%,"661,596",48.90%,"165,607",48.10%,"65,383",23.90%,"3,391,659",46.50%,"1,706,506",47.70%,"233,837",51.90%,"324,510",55.10%,"2,302,493",48.10%,"1,230,230",49.20%,"631,345",51.10%,"566,559",50.90%,"836,041",48.90%,"752,359",43.50%,"270,147",48.80%,"1,031,573",47.60%,"1,195,878",46.90%,"1,834,569",47.80%,"1,082,532",51.00%,"489,805",44.70%,"1,141,310",48.30%,"202,065",49.40%,"373,672",50.70%,"457,627",45.00%,"274,432",52.80%,"1,628,432",51.10%,"344,593",45.10%,"3,194,010",44.00%,"1,817,338",48.10%,"145,767",48.70%,"2,143,896",46.80%,"712,205",48.90%,"741,463",48.40%,"2,387,911",48.20%,"181,097",44.10%,"857,927",47.30%,"165,991",50.20%,"1,215,967",48.60%,"4,591,193",50.20%,"554,555",61.20%,"126,110",49.00%,"1,547,758",50.50%,"1,329,528",49.80%,"361,652",48.80%,"1,136,134",49.40%,"117,355",51.70%,"499,852",40.20%,"56,978,483",48.20%
Other Family:,"20,781,915",17.80%,"358,025",19.40%,"42,913",17.10%,"438,552",18.20%,"201,004",17.70%,"2,487,383",19.60%,"297,648",14.70%,"234,043",17.30%,"64,700",18.80%,"53,354",19.50%,"1,308,229",17.90%,"717,029",20.10%,"79,775",17.70%,"81,658",13.90%,"822,190",17.20%,"424,813",17.00%,"166,136",13.40%,"162,909",14.60%,"300,677",17.60%,"375,873",21.80%,"77,432",14.00%,"418,719",19.30%,"425,039",16.70%,"663,265",17.30%,"294,017",13.80%,"259,316",23.70%,"388,696",16.40%,"53,405",13.00%,"102,955",14.00%,"194,327",19.10%,"72,946",14.00%,"583,099",18.30%,"150,438",19.70%,"1,431,950",19.70%,"680,655",18.00%,"36,097",12.10%,"793,702",17.30%,"253,804",17.40%,"230,328",15.00%,"814,963",16.40%,"76,443",18.60%,"354,718",19.50%,"47,003",14.20%,"449,478",18.00%,"1,772,911",19.40%,"125,452",13.80%,"33,347",13.00%,"506,658",16.50%,"392,660",14.70%,"118,151",16.00%,"333,156",14.50%,"29,874",13.20%,"379,966",30.50%,"21,161,881",17.90%
"Male Householder, No Wife Present","5,612,732",4.80%,"78,073",4.20%,"14,733",5.90%,"131,803",5.50%,"50,484",4.40%,"759,047",6.00%,"91,627",4.50%,"58,815",4.40%,"17,088",5.00%,"10,502",3.80%,"338,899",4.60%,"168,974",4.70%,"24,840",5.50%,"25,859",4.40%,"218,183",4.60%,"116,108",4.60%,"51,245",4.10%,"48,857",4.40%,"82,083",4.80%,"88,598",5.10%,"24,446",4.40%,"105,011",4.90%,"104,560",4.10%,"175,804",4.60%,"90,762",4.30%,"55,222",5.00%,"101,958",4.30%,"17,734",4.30%,"30,098",4.10%,"62,536",6.20%,"21,982",4.20%,"154,212",4.80%,"43,068",5.60%,"360,634",5.00%,"167,799",4.40%,"12,601",4.20%,"205,848",4.50%,"73,378",5.00%,"68,744",4.50%,"218,161",4.40%,"19,401",4.70%,"82,715",4.60%,"14,911",4.50%,"113,241",4.50%,"466,258",5.10%,"38,394",4.20%,"10,292",4.00%,"130,767",4.30%,"119,379",4.50%,"33,962",4.60%,"102,265",4.50%,"10,771",4.80%,"80,295",6.50%,"5,693,027",4.80%
"Female Householder, No Husband Present","15,169,183",13.00%,"279,952",15.20%,"28,180",11.20%,"306,749",12.70%,"150,520",13.20%,"1,728,336",13.60%,"206,021",10.20%,"175,228",13.00%,"47,612",13.80%,"42,852",15.70%,"969,330",13.30%,"548,055",15.30%,"54,935",12.20%,"55,799",9.50%,"604,007",12.60%,"308,705",12.30%,"114,891",9.30%,"114,052",10.20%,"218,594",12.80%,"287,275",16.60%,"52,986",9.60%,"313,708",14.50%,"320,479",12.60%,"487,461",12.70%,"203,255",9.60%,"204,094",18.60%,"286,738",12.10%,"35,671",8.70%,"72,857",9.90%,"131,791",13.00%,"50,964",9.80%,"428,887",13.50%,"107,370",14.10%,"1,071,316",14.80%,"512,856",13.60%,"23,496",7.80%,"587,854",12.80%,"180,426",12.40%,"161,584",10.50%,"596,802",12.00%,"57,042",13.90%,"272,003",15.00%,"32,092",9.70%,"336,237",13.40%,"1,306,653",14.30%,"87,058",9.60%,"23,055",9.00%,"375,891",12.30%,"273,281",10.20%,"84,189",11.40%,"230,891",10.00%,"19,103",8.40%,"299,671",24.10%,"15,468,854",13.10%
Nonfamily Households:,"39,665,759",33.90%,"609,358",33.00%,"83,407",33.20%,"830,832",34.40%,"378,101",33.20%,"3,985,067",31.30%,"723,496",35.70%,"456,944",33.80%,"113,715",33.10%,"154,653",56.60%,"2,600,606",35.60%,"1,150,827",32.20%,"136,960",30.40%,"183,152",31.10%,"1,661,705",34.70%,"846,894",33.90%,"438,928",35.50%,"384,004",34.50%,"571,781",33.50%,"599,687",34.70%,"205,705",37.20%,"716,097",33.10%,"928,804",36.40%,"1,343,314",35.00%,"748,196",35.20%,"347,472",31.70%,"834,682",35.30%,"153,924",37.60%,"259,986",35.30%,"364,755",35.90%,"172,873",33.20%,"977,955",30.70%,"268,572",35.20%,"2,636,319",36.30%,"1,277,588",33.80%,"117,774",39.30%,"1,647,486",35.90%,"489,312",33.60%,"561,639",36.60%,"1,755,985",35.40%,"153,062",37.30%,"602,449",33.20%,"117,864",35.60%,"839,111",33.50%,"2,785,092",30.40%,"226,285",25.00%,"97,710",38.00%,"1,008,367",32.90%,"946,724",35.50%,"261,087",35.20%,"829,817",36.10%,"79,636",35.10%,"364,384",29.30%,"40,030,143",33.90%
Male Householder,"18,459,748",15.80%,"276,529",15.00%,"47,599",19.00%,"404,384",16.80%,"176,491",15.50%,"1,885,473",14.80%,"354,512",17.50%,"203,639",15.10%,"50,428",14.70%,"70,384",25.70%,"1,186,814",16.30%,"530,386",14.80%,"69,348",15.40%,"86,928",14.80%,"766,154",16.00%,"403,120",16.10%,"209,733",17.00%,"180,283",16.20%,"262,806",15.40%,"285,138",16.50%,"93,034",16.80%,"312,804",14.40%,"408,575",16.00%,"631,460",16.40%,"354,666",16.70%,"160,065",14.60%,"384,807",16.30%,"77,013",18.80%,"126,200",17.10%,"193,422",19.00%,"81,437",15.70%,"428,989",13.50%,"128,165",16.80%,"1,177,954",16.20%,"573,956",15.20%,"63,296",21.10%,"765,056",16.70%,"232,584",16.00%,"259,583",16.90%,"792,700",16.00%,"68,696",16.70%,"273,763",15.10%,"59,314",17.90%,"383,603",15.30%,"1,351,589",14.80%,"111,116",12.30%,"44,623",17.40%,"455,377",14.90%,"458,630",17.20%,"121,874",16.50%,"393,676",17.10%,"41,572",18.30%,"158,431",12.70%,"18,618,179",15.80%
Female Householder,"21,206,011",18.10%,"332,829",18.00%,"35,808",14.30%,"426,448",17.70%,"201,610",17.70%,"2,099,594",16.50%,"368,984",18.20%,"253,305",18.70%,"63,287",18.40%,"84,269",30.80%,"1,413,792",19.40%,"620,441",17.40%,"67,612",15.00%,"96,224",16.30%,"895,551",18.70%,"443,774",17.70%,"229,195",18.50%,"203,721",18.30%,"308,975",18.10%,"314,549",18.20%,"112,671",20.40%,"403,293",18.60%,"520,229",20.40%,"711,854",18.50%,"393,530",18.50%,"187,407",17.10%,"449,875",19.00%,"76,911",18.80%,"133,786",18.20%,"171,333",16.90%,"91,436",17.60%,"548,966",17.20%,"140,407",18.40%,"1,458,365",20.10%,"703,632",18.60%,"54,478",18.20%,"882,430",19.30%,"256,728",17.60%,"302,056",19.70%,"963,285",19.40%,"84,366",20.60%,"328,686",18.10%,"58,550",17.70%,"455,508",18.20%,"1,433,503",15.70%,"115,169",12.70%,"53,087",20.60%,"552,990",18.10%,"488,094",18.30%,"139,213",18.80%,"436,141",19.00%,"38,064",16.80%,"205,953",16.60%,"21,411,964",18.10%
